player_id,name,last_season,current_club_id,country_of_birth,age,sub_position,position,foot,height_in_cm,current_club_domestic_competition_id,current_club_name
175787,Cristian Lobato,2014,6676,Spain,34,Left Winger,Attack,left,174.0,GR1,Asteras Tripolis
175824,Elguja Lobjanidze,2016,14589,Georgia,30,Centre-Forward,Attack,right,193.0,RU1,FK Orenburg
176139,Mattia Bani,2021,252,Italy,29,Centre-Back,Defender,right,188.0,IT1,Genoa CFC
176218,Lucas Mineiro,2014,2990,Brazil,30,Central Midfield,Midfield,right,173.0,PO1,Académica Coimbra
176413,Taras Puchkovskyi,2015,2477,Ukraine,28,Left Winger,Attack,right,180.0,UKR1,Karpaty Lviv (-2021)
176562,Roger Gomis,2017,6993,Senegal,28,Defensive Midfield,Midfield,right,178.0,UKR1,FK Mariupol
177350,Evgeniy Frolov,2022,2696,UdSSR,35,Goalkeeper,Goalkeeper,right,194.0,RU1,Krylya Sovetov Samara
177452,Abdón Prats,2022,237,Spain,30,Centre-Forward,Attack,left,181.0,ES1,RCD Mallorca
177646,Craig Murray,2014,370,Scotland,28,Right Midfield,Midfield,right,180.0,SC1,Aberdeen FC
177688,Michel Babatunde,2015,339,Nigeria,30,Attacking Midfield,Midfield,left,179.0,UKR1,Dnipro Dnipropetrovsk (-2020)
177690,Miguel Trauco,2021,618,Peru,30,Left-Back,Defender,left,175.0,FR1,AS Saint-Étienne
178335,Dmitriy Zhivoglyadov,2022,932,Russia,29,Right-Back,Defender,right,178.0,RU1,Lokomotiv Moscow
178838,Bachana Arabuli,2021,3999,Georgia,29,Centre-Forward,Attack,left,188.0,GR1,PAS Lamia 1964
179689,Pavel Dronov,2012,964,Russia,30,Goalkeeper,Goalkeeper,right,189.0,RU1,Zenit St. Petersburg
179899,Tomislav Kis,2016,601,Croatia,29,Centre-Forward,Attack,right,181.0,BE1,KV Kortrijk
180020,Pavel Sergeev,2014,3729,Russia,29,Attacking Midfield,Midfield,right,175.0,RU1,Arsenal Tula
181382,Abdoulaye Touré,2021,252,France,29,Defensive Midfield,Midfield,right,188.0,IT1,Genoa CFC
181554,Adil Nabi,2021,653,England,29,Attacking Midfield,Midfield,right,175.0,GR1,OFI Crete FC
182424,Dorian Dessoleil,2022,601,Belgium,30,Centre-Back,Defender,left,188.0,BE1,KV Kortrijk
182823,Jonathan Mexique,2018,162,France,28,Defensive Midfield,Midfield,right,175.0,FR1,AS Monaco
182879,Grégoire Amiot,2019,385,France,28,Centre-Back,Defender,left,187.0,NL1,Fortuna Sittard
183031,Koffi Djidji,2022,416,France,30,Centre-Back,Defender,right,184.0,IT1,Torino FC
